Description,,Summary Amt.
Beginning balance as of 06/16/2025,,"xxx"
Total credits,,"x.xx"
Total debits,,"-xxxx"
Ending balance as of 06/22/2025,,"xxx"

Date,Description,Amount,Running Bal.
06/16/2025,AMAZON PURCHASE 06/16 PURCHASE BRYAN TX,-35.06,1267.8
06/16/2025,SPOTIFY SUBSCRIPTION 06/16 PURCHASE BRYAN TX,-5.44,904.64
06/16/2025,GROCERY OUTLET 06/16 PURCHASE BRYAN TX,-27.43,910.08
06/16/2025,GROCERY OUTLET 06/16 PURCHASE BRYAN TX,-40.46,974.52
06/17/2025,WATER BILL PAYMENT 06/17 PURCHASE BRYAN TX,-20.89,747.9
06/17/2025,WALMART PURCHASE 06/17 PURCHASE BRYAN TX,-9.81,1112.81
06/17/2025,SPOTIFY SUBSCRIPTION 06/17 PURCHASE BRYAN TX,-40.65,1037.31
06/18/2025,APPLE.COM BILLING 06/18 PURCHASE BRYAN TX,-14.98,1014.98
06/18/2025,APPLE.COM BILLING 06/18 PURCHASE BRYAN TX,-31.21,768.79
06/18/2025,MOVIE THEATER 06/18 PURCHASE BRYAN TX,-22.24,1090.57
06/19/2025,APPLE.COM BILLING 06/19 PURCHASE BRYAN TX,-41.63,706.27
06/19/2025,PAPA JOHN'S PIZZA 06/19 PURCHASE BRYAN TX,-9.61,895.03
06/20/2025,WALMART PURCHASE 06/20 PURCHASE BRYAN TX,-35.28,1302.86
06/20/2025,WATER BILL PAYMENT 06/20 PURCHASE BRYAN TX,-37.01,937.51
06/20/2025,AMAZON PURCHASE 06/20 PURCHASE BRYAN TX,-12.61,1077.96
06/20/2025,WALMART PURCHASE 06/20 PURCHASE BRYAN TX,-7.35,1029.96
06/21/2025,AMAZON PURCHASE 06/21 PURCHASE BRYAN TX,-40.11,1122.62
06/21/2025,PAPA JOHN'S PIZZA 06/21 PURCHASE BRYAN TX,-38.86,856.17
06/22/2025,PAYROLL DEPOSIT 06/22 PURCHASE BRYAN TX,456.46,1162.73
06/22/2025,PAYROLL DEPOSIT 06/22 PURCHASE BRYAN TX,481.97,1338.14
