Description,,Summary Amt.
Beginning balance as of 06/21/2025,,"405.82"
Total credits,,"1,000.00"
Total debits,,"-470.94"
Ending balance as of 06/29/2025,,"934.88"

Date,Description,Amount,Running Bal.
06/23/2025,"Online Banking transfer from SAV 2520 Confirmation# XXXXX66361","1,000.00","1,405.82"
06/23/2025,"SHELL OIL XXXXX520003 06/20 PURCHASE BRYAN TX","-3.78","1,402.04"
06/23/2025,"PY *HOPDODDY COLLEGE S 06/20 PURCHASE COLLEGE STATI TX","-37.13","1,364.91"
06/23/2025,"HEB ONLINE #108 06/21 PURCHASE 855-803-0611 TX","-131.44","1,233.47"
06/23/2025,"30962 TRUFIT BRYAN VILL 06/21 PURCHASE BRYAN TX","-67.10","1,166.37"
06/23/2025,"WAL-MART #4183 06/21 PURCHASE BRYAN TX","-4.28","1,162.09"
06/23/2025,"WITHJOY.COM 06/22 PURCHASE WITHJOY.COM CA","-42.43","1,119.66"
06/23/2025,"SALEM LUTHERAN CHURCH 06/22 PURCHASE WWW.SALEM4U.C TX","-50.00","1,069.66"
06/24/2025,"NEWK`S EATERY COLLEGE S 06/22 PURCHASE COLLEGE STATI TX","-26.77","1,042.89"
06/24/2025,"CS *STARBUCKS GC 06/22 PURCHASE 877-850-1977 ME","-20.00","1,022.89"
06/24/2025,"WM SUPERCENTER 06/24 PURCHASE BRYAN TX","-13.23","1,009.66"
06/25/2025,"H-E-B #544 06/25 PURCHASE BRYAN TX","-23.39","986.27"
06/27/2025,"MURPHY`S LAW 06/25 PURCHASE BRYAN TX","-48.15","938.12"
06/27/2025,"WAL-MART #4183 06/27 PURCHASE BRYAN TX","-3.24","934.88"
